61270	44658	dbp44
60589	36375	dbp64
60545	27691	dbp44
59753	3606	dbp82
38408	3606	dbp128
59944	47889	dbp44
59900	27691	dbp44
59870	27691	dbp44
29659	3606	dbp244
59709	27691	dbp44
28241	3606	dbp104
60490	3606	dbp82
58448	44658	dbp44
58250	44051	dbp44
58110	2615	dbp230
57816	42241	dbp44
57743	42236	dbp44
57668	911	dbp198
25627	3606	dbp244
30007	3606	dbp244
56983	27691	dbp44
56982	27691	dbp44
57402	3606	dbp82
51329	3606	dbp244
56670	27691	dbp156
55539	27691	dbp44
55484	27691	dbp44
55458	27691	dbp44
43703	3606	dbp244
54639	7388	dbp64
54638	7388	dbp64
40970	3606	dbp244
54497	36790	dbp44
54431	2615	dbp230
54416	36375	dbp64
54415	36375	dbp64
54414	36375	dbp64
54371	22235	dbp126
54275	911	dbp128
49491	3606	dbp82
26982	3606	dbp128
54094	22235	dbp156
54008	4459	dbp126
29312	3606	dbp128
53838	36375	dbp64
53837	36375	dbp64
53836	36375	dbp64
53835	36375	dbp64
53834	36375	dbp64
53833	36375	dbp64
53832	36375	dbp64
53783	36375	dbp64
42342	3606	dbp82
53252	27691	dbp64
52935	27691	dbp64
52934	27691	dbp64
52342	2615	dbp230
52337	2615	dbp230
52316	2615	dbp230
52315	2615	dbp230
52309	2615	dbp230
52305	27691	dbp64
52230	3388	dbp64
39825	3606	dbp244
52091	2615	dbp230
52049	7388	dbp64
55156	3606	dbp82
51130	27691	dbp64
50833	7388	dbp36
50832	27691	dbp64
50827	7388	dbp156
50761	7388	dbp156
50703	3388	dbp130
50488	27691	dbp64
50483	27691	dbp64
50481	27691	dbp64
50480	27691	dbp64
50479	27691	dbp64
50478	27691	dbp64
50477	27691	dbp64
50476	27691	dbp64
50474	27691	dbp128
50048	2615	dbp230
49915	2615	dbp230
26986	3606	dbp104
56838	3606	dbp82
48967	4459	dbp98
43241	3606	dbp82
45347	2615	dbp230
30286	3606	dbp184
44724	27691	dbp128
44703	27691	dbp128
37163	3606	dbp54
43773	44658	dbp44
60212	3606	dbp82
26985	3606	dbp244
28001	3606	dbp104
37467	3606	dbp128
43399	911	dbp28
26980	3606	dbp104
30897	3606	dbp184
57403	3606	dbp82
26981	3606	dbp128
56917	3606	dbp82
42389	7388	dbp56
54600	3606	dbp64
54196	3606	dbp44
53782	3606	dbp44
42363	4459	dbp56
49849	3606	dbp244
44219	3606	dbp244
42062	26276	dbp24
42061	26276	dbp24
42060	26276	dbp24
43705	3606	dbp244
41829	911	dbp198
43482	3606	dbp244
42421	3606	dbp244
40227	911	dbp198
40226	911	dbp198
40225	911	dbp198
40224	911	dbp198
40139	911	dbp198
40053	911	dbp198
42388	3606	dbp128
38901	3606	dbp244
37643	3606	dbp128
37492	3606	dbp54
37690	23058	dbp50
37479	3606	dbp54
36743	3606	dbp216
35296	3606	dbp244
32204	3606	dbp184
31128	3606	dbp128
36744	22235	dbp50
30406	3606	dbp244
30014	3606	dbp104
36294	3388	dbp114
30004	3606	dbp82
35912	2615	dbp230
28910	3606	dbp244
28619	3606	dbp244
35102	4459	dbp50
28618	3606	dbp244
33563	2615	dbp230
33562	2615	dbp230
33560	2615	dbp230
33012	911	dbp130
28616	3606	dbp104
28257	3606	dbp244
31889	2615	dbp230
31602	16481	dbp50
28240	3606	dbp104
28088	3606	dbp244
28087	3606	dbp104
28004	3606	dbp104
27997	3606	dbp244
27994	3606	dbp104
27872	3606	dbp104
27869	3606	dbp244
30375	911	dbp130
27862	3606	dbp244
27856	3606	dbp244
27855	3606	dbp244
26989	3606	dbp244
26983	3606	dbp244
25629	3606	dbp128
25604	3606	dbp104
29124	3388	dbp216
25603	3606	dbp244
25600	3606	dbp244
25599	3606	dbp244
25598	3606	dbp244
25533	3606	dbp104
25515	3606	dbp104
25514	3606	dbp104
25513	3606	dbp104
25499	3606	dbp244
23680	3606	dbp128
42776	3606	dbp244
35670	3606	dbp216
59494	3606	dbp82
27144	3606	dbp244
30887	3606	dbp184
25631	3606	dbp104
45213	3606	dbp244
27851	3606	dbp54
42386	3606	dbp82
27142	3606	dbp128
27526	3606	dbp104
59208	3606	dbp82
25630	3606	dbp128
43013	3606	dbp244
54095	3606	dbp44
42387	3606	dbp82
25637	3606	dbp244
28614	3606	dbp244
30907	3606	dbp244
30883	3606	dbp244
42136	3606	dbp82
48942	3606	dbp244
29996	3606	dbp184
33971	3606	dbp244
31339	3606	dbp128
32738	3606	dbp244
43419	3606	dbp244
25537	3606	dbp104
30868	3606	dbp184
38409	3606	dbp128
40784	3606	dbp244
27146	3606	dbp104
27999	3606	dbp244
36158	3606	dbp82
43248	3606	dbp128
25601	3606	dbp244
25512	3606	dbp104
25602	3606	dbp104
28068	3606	dbp104
25596	3606	dbp104
25626	3606	dbp128
28242	3606	dbp244
42058	3606	dbp104
27854	3606	dbp104
27859	3606	dbp244
26990	3606	dbp244
36632	3606	dbp128
53918	3606	dbp64
25220	911	dbp198
52180	3606	dbp64
23166	4459	dbp114
19187	2615	dbp230
16871	911	dbp198
15673	2615	dbp230
15106	2615	dbp230
61714	44658	dbp44
61778	27691	dbp44
61959	27691	dbp44
61966	47889	dbp44
61990	22235	dbp126
62035	22235	dbp126
34576	3388	dbp90
39559	3388	dbp90
39568	3388	dbp90
39569	3388	dbp90
41828	3388	dbp90
53477	3388	dbp90
53486	3388	dbp90
58469	3388	dbp90

